1.00e+00 	1.00e+01 	1.00e+01 	0.7780 	0.0000
1.00e+00 	2.00e+01 	1.00e+01 	0.8943 	0.0004
1.00e+00 	3.00e+01 	1.00e+01 	0.9343 	0.0008
1.00e+00 	4.00e+01 	1.00e+01 	0.9546 	0.0012
1.00e+00 	5.00e+01 	1.00e+01 	0.9668 	0.0015
1.00e+00 	6.00e+01 	1.00e+01 	0.9750 	0.0017
1.00e+00 	7.00e+01 	1.00e+01 	0.9808 	0.0019
1.00e+00 	8.00e+01 	1.00e+01 	0.9852 	0.0020
1.00e+00 	9.00e+01 	1.00e+01 	0.9886 	0.0021
1.00e+00 	1.00e+02 	1.00e+01 	0.9913 	0.0022
1.00e+00 	2.00e+02 	1.00e+01 	1.0032 	0.0027
1.00e+00 	3.00e+02 	1.00e+01 	1.0070 	0.0029
1.00e+00 	4.00e+02 	1.00e+01 	1.0088 	0.0030
1.00e+00 	5.00e+02 	1.00e+01 	1.0098 	0.0031
1.00e+00 	6.00e+02 	1.00e+01 	1.0104 	0.0031
1.00e+00 	7.00e+02 	1.00e+01 	1.0108 	0.0032
1.00e+00 	8.00e+02 	1.00e+01 	1.0111 	0.0032
1.00e+00 	9.00e+02 	1.00e+01 	1.0113 	0.0032
1.00e+00 	1.00e+03 	1.00e+01 	1.0115 	0.0032
