1.00e+00 	1.00e+01 	1.00e+00 	0.7773 	0.0000
1.00e+00 	2.00e+01 	1.00e+00 	0.8940 	0.0004
1.00e+00 	3.00e+01 	1.00e+00 	0.9342 	0.0008
1.00e+00 	4.00e+01 	1.00e+00 	0.9545 	0.0012
1.00e+00 	5.00e+01 	1.00e+00 	0.9668 	0.0015
1.00e+00 	6.00e+01 	1.00e+00 	0.9749 	0.0017
1.00e+00 	7.00e+01 	1.00e+00 	0.9808 	0.0019
1.00e+00 	8.00e+01 	1.00e+00 	0.9851 	0.0020
1.00e+00 	9.00e+01 	1.00e+00 	0.9885 	0.0021
1.00e+00 	1.00e+02 	1.00e+00 	0.9912 	0.0022
1.00e+00 	1.20e+02 	1.00e+00 	0.9953 	0.0024
1.00e+00 	1.60e+02 	1.00e+00 	1.0003 	0.0026
1.00e+00 	1.80e+02 	1.00e+00 	1.0019 	0.0027
1.00e+00 	2.00e+02 	1.00e+00 	1.0032 	0.0027
1.00e+00 	3.00e+02 	1.00e+00 	1.0070 	0.0029
1.00e+00 	4.00e+02 	1.00e+00 	1.0088 	0.0030
1.00e+00 	5.00e+02 	1.00e+00 	1.0098 	0.0031
1.00e+00 	6.00e+02 	1.00e+00 	1.0104 	0.0031
1.00e+00 	7.00e+02 	1.00e+00 	1.0108 	0.0032
1.00e+00 	8.00e+02 	1.00e+00 	1.0111 	0.0032
1.00e+00 	9.00e+02 	1.00e+00 	1.0113 	0.0032
1.00e+00 	1.00e+03 	1.00e+00 	1.0115 	0.0032
